Program,Year,Week Ending,State ANSI,County,County ANSI,Value,CV (%)
SURVEY,2020,,18,BARTHOLOMEW,5,187.5,3.1
SURVEY,2020,,18,BOONE,11,221.9,1.5
SURVEY,2020,,18,CLINTON,23,207.1,1.9
SURVEY,2020,,18,DECATUR,31,209.5,1.6
SURVEY,2020,,18,GRANT,53,187.8,3.5
SURVEY,2020,,18,HAMILTON,57,188.7,4.9
SURVEY,2020,,18,HANCOCK,59,188.5,2.5
SURVEY,2020,,18,HENDRICKS,63,205.2,2.2
SURVEY,2020,,18,HOWARD,67,213.1,1.4
SURVEY,2020,,18,JOHNSON,81,184.2,2.2
SURVEY,2020,,18,MADISON,95,204.7,1.5
SURVEY,2020,,18,MARION,97,191.9,5.9
SURVEY,2020,,18,MORGAN,109,188,1.8
SURVEY,2020,,18,RUSH,139,201.9,1.2
SURVEY,2020,,18,SHELBY,145,191,2
SURVEY,2020,,18,TIPTON,159,216.7,2
SURVEY,2020,,18,BLACKFORD,9,187.9,0.9
SURVEY,2020,,18,DELAWARE,35,192,1.3
SURVEY,2020,,18,FAYETTE,41,191.5,2.4
SURVEY,2020,,18,HENRY,65,196.6,2.7
SURVEY,2020,,18,JAY,75,179.9,1.9
SURVEY,2020,,18,RANDOLPH,135,183.9,2.2
SURVEY,2020,,18,UNION,161,208.9,1.7
SURVEY,2020,,18,WAYNE,177,186.6,2.2
SURVEY,2020,,18,CARROLL,15,209.6,2
SURVEY,2020,,18,CASS,17,200.4,1.7
SURVEY,2020,,18,ELKHART,39,174.8,2.9
SURVEY,2020,,18,FULTON,49,181,1.3
SURVEY,2020,,18,KOSCIUSKO,85,172.9,3.1
SURVEY,2020,,18,MARSHALL,99,175.5,2.3
SURVEY,2020,,18,MIAMI,103,180.8,2.8
SURVEY,2020,,18,ST. JOSEPH,141,167.7,4.9
SURVEY,2020,,18,WABASH,169,174.2,1.8
SURVEY,2020,,18,ADAMS,1,179.9,2.4
SURVEY,2020,,18,ALLEN,3,165.2,2.6
SURVEY,2020,,18,DE KALB,33,136.6,3.3
SURVEY,2020,,18,HUNTINGTON,69,186.1,1.7
SURVEY,2020,,18,LAGRANGE,87,143.5,7.4
SURVEY,2020,,18,NOBLE,113,175.3,4.1
SURVEY,2020,,18,STEUBEN,151,145.6,3.4
SURVEY,2020,,18,WELLS,179,188.5,1.6
SURVEY,2020,,18,WHITLEY,183,159.6,1.8
SURVEY,2020,,18,BENTON,7,204.5,1.8
SURVEY,2020,,18,JASPER,73,172.3,3.3
SURVEY,2020,,18,LA PORTE,91,147.8,2.2
SURVEY,2020,,18,LAKE,89,171.3,1.6
SURVEY,2020,,18,NEWTON,111,192.9,2.1
SURVEY,2020,,18,PORTER,127,182.2,4.9
SURVEY,2020,,18,PULASKI,131,172.7,1.3
SURVEY,2020,,18,STARKE,149,156.8,3.5
SURVEY,2020,,18,WHITE,181,178.5,4.7
SURVEY,2020,,18,FLOYD,43,171.2,6.1
SURVEY,2020,,18,HARRISON,61,182,4.1
SURVEY,2020,,18,JACKSON,71,185.4,3.9
SURVEY,2020,,18,LAWRENCE,93,183.4,3.1
SURVEY,2020,,18,MONROE,105,168.2,3.5
SURVEY,2020,,18,ORANGE,117,205.3,2.1
SURVEY,2020,,18,PERRY,123,179.7,5.7
SURVEY,2020,,18,WASHINGTON,175,172.9,5.4
SURVEY,2020,,18,CLARK,19,173.4,1.8
SURVEY,2020,,18,DEARBORN,29,173.2,3.2
SURVEY,2020,,18,FRANKLIN,47,184.9,1.9
SURVEY,2020,,18,JEFFERSON,77,165,6.3
